Municipios	Sexo	Periodo	Total
28 Madrid	Total	2022	6.750.336
28 Madrid	Hombres	2022	3.230.154
28 Madrid	Mujeres	2022	3.520.182
28001 Acebeda, La	Total	2022	62
28001 Acebeda, La	Hombres	2022	32
28001 Acebeda, La	Mujeres	2022	30
28002 Ajalvir	Total	2022	4.751
28002 Ajalvir	Hombres	2022	2.473
28002 Ajalvir	Mujeres	2022	2.278
28003 Alameda del Valle	Total	2022	241
28003 Alameda del Valle	Hombres	2022	137
28003 Alameda del Valle	Mujeres	2022	104
28004 Álamo, El	Total	2022	10.123
28004 Álamo, El	Hombres	2022	4.972
28004 Álamo, El	Mujeres	2022	5.151
28005 Alcalá de Henares	Total	2022	196.888
28005 Alcalá de Henares	Hombres	2022	95.472
28005 Alcalá de Henares	Mujeres	2022	101.416
28006 Alcobendas	Total	2022	117.041
28006 Alcobendas	Hombres	2022	55.907
28006 Alcobendas	Mujeres	2022	61.134
28007 Alcorcón	Total	2022	170.296
28007 Alcorcón	Hombres	2022	81.673
28007 Alcorcón	Mujeres	2022	88.623
28008 Aldea del Fresno	Total	2022	3.227
28008 Aldea del Fresno	Hombres	2022	1.653
28008 Aldea del Fresno	Mujeres	2022	1.574
28009 Algete	Total	2022	20.767
28009 Algete	Hombres	2022	10.181
28009 Algete	Mujeres	2022	10.586
28010 Alpedrete	Total	2022	15.006
28010 Alpedrete	Hombres	2022	7.380
28010 Alpedrete	Mujeres	2022	7.626
28011 Ambite	Total	2022	648
28011 Ambite	Hombres	2022	324
28011 Ambite	Mujeres	2022	324
28012 Anchuelo	Total	2022	1.354
28012 Anchuelo	Hombres	2022	702
28012 Anchuelo	Mujeres	2022	652
28013 Aranjuez	Total	2022	59.762
28013 Aranjuez	Hombres	2022	29.046
28013 Aranjuez	Mujeres	2022	30.716
28014 Arganda del Rey	Total	2022	57.553
28014 Arganda del Rey	Hombres	2022	28.729
28014 Arganda del Rey	Mujeres	2022	28.824
28015 Arroyomolinos	Total	2022	34.833
28015 Arroyomolinos	Hombres	2022	17.313
28015 Arroyomolinos	Mujeres	2022	17.520
28016 Atazar, El	Total	2022	107
28016 Atazar, El	Hombres	2022	60
28016 Atazar, El	Mujeres	2022	47
28017 Batres	Total	2022	1.823
28017 Batres	Hombres	2022	941
28017 Batres	Mujeres	2022	882
28018 Becerril de la Sierra	Total	2022	6.197
28018 Becerril de la Sierra	Hombres	2022	3.085
28018 Becerril de la Sierra	Mujeres	2022	3.112
28019 Belmonte de Tajo	Total	2022	1.769
28019 Belmonte de Tajo	Hombres	2022	910
28019 Belmonte de Tajo	Mujeres	2022	859
28021 Berrueco, El	Total	2022	801
28021 Berrueco, El	Hombres	2022	406
28021 Berrueco, El	Mujeres	2022	395
28020 Berzosa del Lozoya	Total	2022	227
28020 Berzosa del Lozoya	Hombres	2022	129
28020 Berzosa del Lozoya	Mujeres	2022	98
28022 Boadilla del Monte	Total	2022	62.627
28022 Boadilla del Monte	Hombres	2022	30.630
28022 Boadilla del Monte	Mujeres	2022	31.997
28023 Boalo, El	Total	2022	8.216
28023 Boalo, El	Hombres	2022	4.100
28023 Boalo, El	Mujeres	2022	4.116
28024 Braojos	Total	2022	218
28024 Braojos	Hombres	2022	132
28024 Braojos	Mujeres	2022	86
28025 Brea de Tajo	Total	2022	541
28025 Brea de Tajo	Hombres	2022	307
28025 Brea de Tajo	Mujeres	2022	234
28026 Brunete	Total	2022	10.845
28026 Brunete	Hombres	2022	5.335
28026 Brunete	Mujeres	2022	5.510
28027 Buitrago del Lozoya	Total	2022	1.948
28027 Buitrago del Lozoya	Hombres	2022	931
28027 Buitrago del Lozoya	Mujeres	2022	1.017
28028 Bustarviejo	Total	2022	2.706
28028 Bustarviejo	Hombres	2022	1.350
28028 Bustarviejo	Mujeres	2022	1.356
28029 Cabanillas de la Sierra	Total	2022	874
28029 Cabanillas de la Sierra	Hombres	2022	453
28029 Cabanillas de la Sierra	Mujeres	2022	421
28030 Cabrera, La	Total	2022	2.805
28030 Cabrera, La	Hombres	2022	1.383
28030 Cabrera, La	Mujeres	2022	1.422
28031 Cadalso de los Vidrios	Total	2022	3.193
28031 Cadalso de los Vidrios	Hombres	2022	1.664
28031 Cadalso de los Vidrios	Mujeres	2022	1.529
28032 Camarma de Esteruelas	Total	2022	7.595
28032 Camarma de Esteruelas	Hombres	2022	3.837
28032 Camarma de Esteruelas	Mujeres	2022	3.758
28033 Campo Real	Total	2022	6.651
28033 Campo Real	Hombres	2022	3.365
28033 Campo Real	Mujeres	2022	3.286
28034 Canencia	Total	2022	455
28034 Canencia	Hombres	2022	242
28034 Canencia	Mujeres	2022	213
28035 Carabaña	Total	2022	2.210
28035 Carabaña	Hombres	2022	1.105
28035 Carabaña	Mujeres	2022	1.105
28036 Casarrubuelos	Total	2022	3.961
28036 Casarrubuelos	Hombres	2022	2.032
28036 Casarrubuelos	Mujeres	2022	1.929
28037 Cenicientos	Total	2022	2.089
28037 Cenicientos	Hombres	2022	1.045
28037 Cenicientos	Mujeres	2022	1.044
28038 Cercedilla	Total	2022	7.533
28038 Cercedilla	Hombres	2022	3.740
28038 Cercedilla	Mujeres	2022	3.793
28039 Cervera de Buitrago	Total	2022	169
